model,test_size,sample_size,fl_epochs,n_base_estimators,n_incremental_estimators,train_size,max_depth,max_features,min_samples_leaf,mae,rmse
,0.30000000000000004,,2,200,10,0.7,,,1,6.540706251152498,23.7600600610908
,0.19999999999999996,,2,100,10,0.8,,,1,6.953645447816433,24.00504411921704
,0.19999999999999996,,2,100,10,0.8,10.0,,1,6.728525201993133,24.13361135874893
,0.19999999999999996,,2,200,10,0.8,10.0,,1,7.026237612331792,24.683030036364222
,0.19999999999999996,,2,100,10,0.8,5.0,,1,7.291995033880522,24.7633449446712
,0.19999999999999996,,2,200,10,0.8,,,1,6.775359507910559,24.772790144392673
,0.30000000000000004,,2,100,10,0.7,10.0,,1,7.2230553327987135,24.802953343577798
,0.30000000000000004,,2,100,10,0.7,5.0,,1,7.83799036980785,25.039661750355314
,0.30000000000000004,,2,200,10,0.7,10.0,,1,7.679444753429737,26.214593549999346
,0.19999999999999996,,2,200,10,0.8,5.0,,1,8.643789853196077,27.101943326151066
,0.30000000000000004,,2,200,10,0.7,5.0,,1,8.204374074658277,27.30664727808187
,0.30000000000000004,,2,100,10,0.7,,,1,11.959995894909689,28.372269178361883
,0.30000000000000004,,2,100,10,0.7,10.0,,5,9.111851973180368,32.39002149693961
,0.19999999999999996,,2,100,10,0.8,10.0,,5,9.19597506306039,32.56055388524587
,0.19999999999999996,,2,100,10,0.8,,,5,8.95524952001125,32.748580848187835
,0.30000000000000004,,2,200,10,0.7,,,5,9.631256595591525,32.78651759008578
,0.30000000000000004,,2,100,10,0.7,5.0,,5,10.047520671177042,32.9252900870304
,0.30000000000000004,,2,200,10,0.7,10.0,,5,9.598484405203605,33.15376233842229
,0.19999999999999996,,2,200,10,0.8,10.0,,5,9.805383832159503,33.66661501775814
,0.19999999999999996,,2,200,10,0.8,,,5,9.88848277327125,34.12066500313622
,0.30000000000000004,,2,200,10,0.7,5.0,,5,11.201419621163776,35.269322526944144
,0.19999999999999996,,2,100,10,0.8,5.0,,5,10.53554459045979,35.41258914760972
,0.19999999999999996,,2,200,10,0.8,5.0,,5,11.34454650175062,36.16218832916184
,0.30000000000000004,,2,100,10,0.7,,,5,13.58905003830354,39.638765122632776
