experiment,round,rmse,mae,r2
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,1,1143.4819727820966,1022.5047607421875,-27.48746109008789
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,2,7258.028558504542,6736.21728515625,-1146.710693359375
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,3,49455.329875312374,46716.4765625,-53286.00390625
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,1,1131.1750066432844,990.267822265625,-26.87755584716797
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,2,7100.647822695868,6484.685546875,-1097.4771728515625
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,3,47799.89631071682,44625.125,-49778.328125
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,1,1135.496064836999,1003.355224609375,-27.090946197509766
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,2,7158.174672210626,6581.185546875,-1115.3482666015625
retailer_region-bagging-ce-on-tf-0p1-le-1-eta-0p05-md-4-ss-0p6_2025-06-24,3,48392.4015642679,45348.16015625,-51020.0546875
